SongName,ArtistName,Popularity,Tempo,Genre
Baarishein,Anuv Jain,87,119.976,pop
Baarishein,Anuv Jain,95,166.928,pop
u love u (with Tate McRae),blackbear,0,75.051,acoustic
By Your Side (feat. Tom Grennan),Calvin Harris,76,94.98,rock
Leave Before You Love Me (with Jonas Brothers),Marshmello,74,80.95,pop
good 4 u,Olivia Rodrigo,85,124.111,pop
Lost Cause,Billie Eilish,74,80.95,pop
seaside_demo,SEB,73,93.007,rock
Our Song,Anne-Marie,76,94.98,rock
Heartbreak Anthem (with David Guetta & Little Mix),Galantis,82,102.931,pop
Our Song,Anne-Marie,77,90.021,rock
Last Train Home,John Mayer,86,140.048,hiphop
seaside_demo,SEB,86,124.08,pop
Build a Bitch,Bella Poarch,83,86.989,rock
t r a n s p a r e n t s o u l feat. Travis Barker,WILLOW,87,95.977,pop
7 rings,Ariana Grande,0,135.128,hiphop
Wake Me Up,Avicii,72,120.97,pop
Love The Way You Lie,Eminem,40,112.001,instrumental
Shape of You,Ed Sheeran,40,112.001,instrumental
bad guy,Billie Eilish,40,112.001,instrumental
Rather Be (feat. Jess Glynne),Clean Bandit,57,109.569,acoustic
Sygrayem (Let's Play),Carlos Rafael Rivera,73,79.975,acoustic
Sygrayem (Let's Play),Carlos Rafael Rivera,76,94.98,rock
Sygrayem (Let's Play),Carlos Rafael Rivera,82,150.062,hiphop
Cocaine,Pink Sweat$,90,110.968,pop
Honesty,Pink Sweat$,89,102.977,rock
seaside_demo,SEB,70,149.963,pop
Mask Off,Future,0,75.051,acoustic
Kiss Me More (feat. SZA),Doja Cat,0,102.028,rock
Levitating (feat. DaBaby),Dua Lipa,0,146.277,acoustic
Mask Off - Marshmello Remix,Future,77,119.986,rock
Lost Cause,Billie Eilish,76,144.992,rock
Hymn for the Weekend - Seeb Remix,Coldplay,81,117.97,pop
The Scientist,Coldplay,84,99.988,pop
My Way,Calvin Harris,0,111.995,rock
All Night,The Vamps,81,123.962,rock
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,69,94.42,acoustic
Let Me Love You,DJ Snake,82,149.903,pop
Adventure of a Lifetime,Coldplay,78,117.965,rock
