SongName,ArtistName,Popularity,Tempo,Genre
"Tchaikovsky: Swan Lake, Op. 20, Act 2: Scene (Moderato)",Pyotr Ilyich Tchaikovsky,87,89.911,pop
Teeth,5 Seconds of Summer,0,145.837,pop
The Scholar's Mate,Carlos Rafael Rivera,95,166.928,pop
The Scientist,Coldplay,84,99.988,pop
The Thrill,Wiz Khalifa,95,166.928,pop
This Is What You Came For (feat. Rihanna),Calvin Harris,79,99.933,rock
Training With Mr. Schaibel,Carlos Rafael Rivera,89,102.977,rock
Two of Us,Louis Tomlinson,68,110.508,jazz
u love u (with Tate McRae),blackbear,0,75.051,acoustic
unravel,TK from Ling tosite sigure,73,152.078,rock
unravel (acoustic version) - Acoustic Version,TK from Ling tosite sigure,56,111.841,acoustic
Wait,Eminem,0,85.034,pop
Wake Me Up,Avicii,52,55.269,instrumental
Walk It Talk It,Migos,78,145.914,pop
Want You Back,5 Seconds of Summer,67,127.099,pop
What A Time (feat. Niall Horan),Julia Michaels,81,92.468,instrumental
What If (I Told You I Like You),Johnny Orlando,0,139.898,pop
White Brown Black,Avvy Sra,9.131868131868131,140,hiphop
Why Did I Answer?,Porsche Love,0,144.911,hiphop
WITHOUT YOU,The Kid LAROI,91,90.03,pop
Wonder,Shawn Mendes,61,138.032,pop
you broke me first,Tate McRae,40,112.001,instrumental
You (with Marshmello & Vance Joy),benny blanco,73,103.116,pop
You Raise Me Up,Josh Groban,69,104.941,pop
You're Gloating,Carlos Rafael Rivera,90,110.968,pop
